NumStores,MicrosecondsPerIteration
0,0.038231

1,0.0386826

2,0.0387612

3,0.0394721

4,0.0393967

5,0.040667

6,0.0393364

7,0.0387958

8,0.039282

9,0.0415046

10,0.0402201

11,0.0390849

12,0.038567

13,0.0392648

14,0.0391607

15,0.0394017

16,0.0403623

17,0.0398325

18,0.0395168

19,0.0405569

20,0.0407771

21,0.040497

22,0.0420509

23,0.042044

24,0.040376

25,0.04066

26,0.0409303

27,0.0408142

28,0.0417547

29,0.041009

30,0.0414838

31,0.0401805

32,0.0412828

33,0.0407254

34,0.0420471

35,0.0421909

36,0.0432496

37,0.0414956

38,0.0415372

39,0.0410957

40,0.0415937

41,0.0413518

42,0.0419737

43,0.0481562

44,0.049158

45,0.0495313

46,0.0504999

47,0.0485139

48,0.0506166

49,0.0509873

50,0.0518515

51,0.0511387

52,0.0537151

53,0.0510401

54,0.0518257

55,0.051552

56,0.0528106

57,0.053742

58,0.0532123

59,0.0537084

60,0.0540601

61,0.055603

62,0.0549424

63,0.0538642

64,0.0560423

65,0.057271

66,0.055949

67,0.0565127

68,0.0561718

69,0.0574408

70,0.0575871

71,0.0584272

72,0.0587239

73,0.0586455

74,0.0587077

75,0.0594965

76,0.0587638

77,0.0606926

78,0.0592198

79,0.0598341

